Day-Month,Hour,Average Day-ahead Price (EUR/MWh)
04-23,12,-19.843333333333334
04-23,13,-36.693333333333335
04-23,14,-43.05333333333332
04-23,15,-43.800000000000004
04-23,16,-17.926666666666666
04-23,17,24.94333333333334
04-23,18,79.66000000000001
04-23,19,121.52333333333333
04-23,20,142.46666666666667
04-23,21,144.59333333333333
04-23,22,138.86333333333332
04-23,23,126.42
04-23,24,120.99000000000001
04-24,1,105.05
04-24,2,94.12333333333333
04-24,3,87.26666666666667
04-24,4,80.91000000000001
04-24,5,79.16666666666667
04-24,6,86.61333333333334
04-24,7,100.32333333333334
04-24,8,113.28666666666668
04-24,9,109.99666666666667
04-24,10,72.51666666666667
04-24,11,60.73666666666667
04-24,12,55.21333333333333
04-24,13,22.709999999999997
04-24,14,8.096666666666671
04-24,15,20.529999999999998
04-24,16,42.22666666666667
04-24,17,64.70333333333333
04-24,18,94.57666666666667
04-24,19,119.13999999999999
04-24,20,142.74
04-24,21,161.45000000000002
04-24,22,154.47666666666666
04-24,23,140.21333333333334
04-24,24,125.96333333333332
04-25,1,122.82000000000001
04-25,2,120.79333333333334
04-25,3,120.76333333333332
04-25,4,117.91333333333334
04-25,5,118.10666666666667
04-25,6,127.03666666666668
04-25,7,153.13333333333333
04-25,8,173.99
04-25,9,173.13666666666668
04-25,10,146.75333333333333
04-25,11,129.40666666666667
04-25,12,123.48333333333333
04-25,13,106.60666666666667
04-25,14,97.39999999999999
04-25,15,91.15333333333335
04-25,16,91.29
04-25,17,103.71333333333332
04-25,18,115.77666666666666
04-25,19,137.38333333333333
04-25,20,174.20333333333335
04-25,21,186.9333333333333
04-25,22,173.4466666666667
04-25,23,160.11666666666667
04-25,24,141.93666666666667
04-26,1,124.25666666666666
04-26,2,117.12666666666667
04-26,3,120.54333333333334
04-26,4,119.87333333333333
04-26,5,122.33999999999999
04-26,6,138.37666666666667
04-26,7,146.19
04-26,8,170.48666666666668
04-26,9,167.01333333333335
04-26,10,145.66
04-26,11,133.20333333333335
04-26,12,125.76333333333332
04-26,13,118.22666666666667
04-26,14,121.50999999999999
04-26,15,118.62666666666667
04-26,16,120.32333333333332
04-26,17,122.34333333333332
04-26,18,135.27666666666667
04-26,19,152.78333333333333
04-26,20,185.90666666666667
04-26,21,192.76333333333332
04-26,22,174.88333333333333
04-26,23,157.10999999999999
04-26,24,142.67333333333332
04-27,1,134.71
04-27,2,128.98333333333332
04-27,3,126.59333333333335
04-27,4,125.93
04-27,5,126.33999999999999
04-27,6,133.17333333333332
04-27,7,147.74666666666667
04-27,8,143.1966666666667
04-27,9,156.93
04-27,10,138.91666666666666
04-27,11,115.02666666666666
04-27,12,88.58333333333333
04-27,13,85.93
04-27,14,83.53333333333333
04-27,15,79.37333333333333
04-27,16,83.65333333333334
04-27,17,97.67666666666666
04-27,18,125.02
04-27,19,146.40333333333334
04-27,20,167.23666666666665
04-27,21,166.2
04-27,22,151.64666666666668
04-27,23,138.34333333333333
04-27,24,121.53333333333335
04-28,1,124.35000000000001
04-28,2,113.68333333333334
04-28,3,109.31666666666666
04-28,4,108.23333333333333
04-28,5,107.3
04-28,6,113.38666666666666
04-28,7,126.05666666666667
04-28,8,135.76000000000002
04-28,9,135.3166666666667
04-28,10,123.62333333333333
04-28,11,107.14
04-28,12,94.04
04-28,13,82.60000000000001
04-28,14,76.41333333333334
04-28,15,74.04333333333334
04-28,16,77.37666666666668
04-28,17,88.10333333333334
04-28,18,105.68666666666667
04-28,19,131.73333333333332
04-28,20,155.88333333333333
04-28,21,162.47333333333333
04-28,22,157.27
04-28,23,147.49333333333334
04-28,24,131.73333333333332
04-29,1,128.26333333333335
04-29,2,123.92
04-29,3,122.51666666666667
04-29,4,123.43666666666667
04-29,5,127.03666666666668
04-29,6,132.91333333333333
04-29,7,152.69333333333333
04-29,8,167.72
04-29,9,169.12333333333333
04-29,10,145.98999999999998
04-29,11,130.6966666666667
04-29,12,115.47666666666667
04-29,13,108.5
04-29,14,100.18
04-29,15,97.90666666666668
04-29,16,99.88
04-29,17,111.22666666666667
04-29,18,123.50333333333333
04-29,19,143.19333333333333
04-29,20,176.75333333333333
04-29,21,190.13333333333333
04-29,22,160.59333333333333
04-29,23,147.99666666666667
04-29,24,135.13333333333333
04-30,1,126.65333333333335
04-30,2,117.26333333333332
04-30,3,116.11333333333333
04-30,4,114.70666666666666
04-30,5,115.28000000000002
04-30,6,120.57
04-30,7,126.91000000000001
04-30,8,130.08333333333334
04-30,9,126.07
04-30,10,111.18666666666667
04-30,11,95.23666666666666
04-30,12,63.45333333333334
04-30,13,36.15
04-30,14,42.67333333333334
04-30,15,48.086666666666666
04-30,16,59.82333333333333
04-30,17,74.00666666666666
04-30,18,109.37
04-30,19,139.41666666666666
04-30,20,161.14666666666668
04-30,21,168.85999999999999
04-30,22,152.48666666666668
04-30,23,145.40333333333334
04-30,24,136.50333333333333
05-01,1,130.89000000000001
05-01,2,126.49666666666667
05-01,3,124.71666666666665
05-01,4,121.59999999999998
05-01,5,117.97666666666667
05-01,6,121.44
05-01,7,120.93333333333334
05-01,8,130.98333333333332
05-01,9,121.04
05-01,10,99.98
05-01,11,89.0
05-01,12,66.58
