MMDD,HH,2022,2023,2024,Average
0110,16,6.0,1.0,7.0,4.666666666666667
0110,17,0.0,0.0,0.0,0.0
0110,18,0.0,0.0,0.0,0.0
0110,19,0.0,0.0,0.0,0.0
0110,20,0.0,0.0,0.0,0.0
0110,21,0.0,0.0,0.0,0.0
0110,22,0.0,0.0,0.0,0.0
0110,23,0.0,0.0,0.0,0.0
0110,24,0.0,0.0,0.0,0.0
0111,1,0.0,0.0,0.0,0.0
0111,2,0.0,0.0,0.0,0.0
0111,3,0.0,0.0,0.0,0.0
0111,4,0.0,0.0,0.0,0.0
0111,5,0.0,0.0,0.0,0.0
0111,6,0.0,0.0,0.0,0.0
0111,7,0.0,0.0,0.0,0.0
0111,8,3.0,1.0,1.0,1.6666666666666667
0111,9,11.0,6.0,31.0,16.0
0111,10,22.0,39.0,55.0,38.666666666666664
0111,11,32.0,74.0,24.0,43.333333333333336
0111,12,39.0,68.0,26.0,44.333333333333336
0111,13,85.0,66.0,32.0,61.0
0111,14,39.0,59.0,23.0,40.333333333333336
0111,15,28.0,35.0,8.0,23.666666666666668
0111,16,8.0,7.0,2.0,5.666666666666667
0111,17,0.0,0.0,0.0,0.0
0111,18,0.0,0.0,0.0,0.0
0111,19,0.0,0.0,0.0,0.0
0111,20,0.0,0.0,0.0,0.0
0111,21,0.0,0.0,0.0,0.0
0111,22,0.0,0.0,0.0,0.0
0111,23,0.0,0.0,0.0,0.0
0111,24,0.0,0.0,0.0,0.0
0112,1,0.0,0.0,0.0,0.0
0112,2,0.0,0.0,0.0,0.0
0112,3,0.0,0.0,0.0,0.0
0112,4,0.0,0.0,0.0,0.0
0112,5,0.0,0.0,0.0,0.0
0112,6,0.0,0.0,0.0,0.0
0112,7,0.0,0.0,0.0,0.0
0112,8,1.0,1.0,0.0,0.6666666666666666
0112,9,7.0,3.0,7.0,5.666666666666667
0112,10,17.0,6.0,14.0,12.333333333333334
0112,11,40.0,8.0,19.0,22.333333333333332
0112,12,51.0,10.0,24.0,28.333333333333332
0112,13,52.0,11.0,38.0,33.666666666666664
0112,14,29.0,7.0,30.0,22.0
0112,15,17.0,5.0,14.0,12.0
0112,16,5.0,1.0,3.0,3.0
0112,17,0.0,0.0,0.0,0.0
0112,18,0.0,0.0,0.0,0.0
0112,19,0.0,0.0,0.0,0.0
0112,20,0.0,0.0,0.0,0.0
0112,21,0.0,0.0,0.0,0.0
0112,22,0.0,0.0,0.0,0.0
0112,23,0.0,0.0,0.0,0.0
0112,24,0.0,0.0,0.0,0.0
0113,1,0.0,0.0,0.0,0.0
0113,2,0.0,0.0,0.0,0.0
0113,3,0.0,0.0,0.0,0.0
0113,4,0.0,0.0,0.0,0.0
0113,5,0.0,0.0,0.0,0.0
0113,6,0.0,0.0,0.0,0.0
0113,7,0.0,0.0,0.0,0.0
0113,8,1.0,1.0,0.0,0.6666666666666666
0113,9,7.0,9.0,2.0,6.0
0113,10,15.0,13.0,5.0,11.0
0113,11,25.0,18.0,8.0,17.0
0113,12,23.0,27.0,18.0,22.666666666666668
0113,13,23.0,31.0,16.0,23.333333333333332
0113,14,21.0,27.0,19.0,22.333333333333332
0113,15,12.0,17.0,15.0,14.666666666666666
0113,16,4.0,6.0,4.0,4.666666666666667
0113,17,0.0,0.0,0.0,0.0
0113,18,0.0,0.0,0.0,0.0
0113,19,0.0,0.0,0.0,0.0
0113,20,0.0,0.0,0.0,0.0
0113,21,0.0,0.0,0.0,0.0
0113,22,0.0,0.0,0.0,0.0
0113,23,0.0,0.0,0.0,0.0
0113,24,0.0,0.0,0.0,0.0
0114,1,0.0,0.0,0.0,0.0
0114,2,0.0,0.0,0.0,0.0
0114,3,0.0,0.0,0.0,0.0
0114,4,0.0,0.0,0.0,0.0
0114,5,0.0,0.0,0.0,0.0
0114,6,0.0,0.0,0.0,0.0
0114,7,0.0,0.0,0.0,0.0
0114,8,1.0,1.0,0.0,0.6666666666666666
0114,9,6.0,3.0,6.0,5.0
0114,10,14.0,5.0,9.0,9.333333333333334
0114,11,22.0,9.0,6.0,12.333333333333334
0114,12,23.0,9.0,29.0,20.333333333333332
0114,13,22.0,11.0,48.0,27.0
