Day-Month,Hour,Temperature
01-24,5,6.033333333333334
01-24,6,5.7
01-24,7,5.533333333333332
01-24,8,5.633333333333333
01-24,9,5.8
01-24,10,5.8
01-24,11,5.933333333333334
01-24,12,5.833333333333333
01-24,13,5.7
01-24,14,5.466666666666666
01-24,15,5.166666666666667
01-24,16,5.1
01-24,17,4.933333333333334
01-24,18,4.733333333333333
01-24,19,4.566666666666666
01-24,20,4.666666666666667
01-24,21,4.633333333333334
01-24,22,4.366666666666667
01-24,23,4.033333333333333
01-25,0,3.5666666666666664
01-25,1,3.2
01-25,2,3.1
01-25,3,2.733333333333334
01-25,4,1.9666666666666668
01-25,5,2.1
01-25,6,2.4
01-25,7,1.8666666666666665
01-25,8,2.333333333333333
01-25,9,2.8000000000000003
01-25,10,3.0
01-25,11,3.233333333333333
01-25,12,3.333333333333333
01-25,13,3.3666666666666667
01-25,14,3.233333333333333
01-25,15,3.133333333333333
01-25,16,3.1
01-25,17,3.233333333333334
01-25,18,3.533333333333333
01-25,19,3.8
01-25,20,3.8666666666666663
01-25,21,3.9
01-25,22,4.0
01-25,23,4.0
01-26,0,3.966666666666667
01-26,1,4.133333333333333
01-26,2,4.4
01-26,3,4.533333333333334
01-26,4,4.666666666666667
01-26,5,4.666666666666667
01-26,6,4.833333333333333
01-26,7,5.266666666666667
01-26,8,5.633333333333333
01-26,9,6.033333333333334
01-26,10,6.766666666666667
01-26,11,7.2
01-26,12,7.233333333333333
01-26,13,7.166666666666667
01-26,14,7.0
01-26,15,6.266666666666667
01-26,16,5.933333333333334
01-26,17,5.566666666666666
01-26,18,5.333333333333333
01-26,19,4.9
01-26,20,4.933333333333334
01-26,21,4.7
01-26,22,4.966666666666667
01-26,23,4.833333333333333
01-27,0,4.5
01-27,1,4.3
01-27,2,3.8666666666666663
01-27,3,3.766666666666666
01-27,4,4.033333333333334
01-27,5,4.3
01-27,6,4.233333333333333
01-27,7,4.2
01-27,8,5.066666666666666
01-27,9,5.9
01-27,10,6.333333333333333
01-27,11,6.766666666666667
01-27,12,7.333333333333333
01-27,13,7.2
01-27,14,6.8
01-27,15,6.366666666666667
01-27,16,5.666666666666667
01-27,17,5.3
01-27,18,4.9
01-27,19,4.6000000000000005
01-27,20,3.6666666666666665
01-27,21,3.1666666666666665
01-27,22,3.1333333333333333
01-27,23,2.833333333333333
01-28,0,2.2666666666666666
01-28,1,3.0
01-28,2,2.9000000000000004
01-28,3,2.7
01-28,4,2.6
01-28,5,2.3000000000000003
01-28,6,2.2333333333333334
01-28,7,2.266666666666667
01-28,8,2.8000000000000003
01-28,9,4.433333333333334
01-28,10,5.633333333333333
01-28,11,6.866666666666667
01-28,12,7.366666666666667
01-28,13,7.399999999999999
01-28,14,7.233333333333333
01-28,15,6.333333333333333
01-28,16,5.833333333333333
01-28,17,5.6000000000000005
01-28,18,5.4
01-28,19,5.166666666666667
01-28,20,5.0
01-28,21,4.9
01-28,22,4.9
01-28,23,4.8
01-29,0,4.633333333333334
01-29,1,4.466666666666667
01-29,2,4.666666666666667
01-29,3,4.366666666666666
01-29,4,4.966666666666667
01-29,5,4.866666666666666
01-29,6,4.733333333333333
01-29,7,5.0
01-29,8,5.766666666666667
01-29,9,6.533333333333334
01-29,10,7.833333333333333
01-29,11,8.5
01-29,12,8.966666666666667
01-29,13,8.966666666666667
01-29,14,8.799999999999999
01-29,15,8.5
01-29,16,7.966666666666666
01-29,17,7.033333333333334
01-29,18,7.466666666666666
01-29,19,7.166666666666667
01-29,20,7.2
01-29,21,6.933333333333334
01-29,22,6.8
01-29,23,7.1000000000000005
01-30,0,7.1000000000000005
01-30,1,7.1000000000000005
01-30,2,6.633333333333333
01-30,3,6.966666666666666
01-30,4,7.0
01-30,5,7.1000000000000005
01-30,6,7.033333333333334
01-30,7,7.399999999999999
01-30,8,8.066666666666666
01-30,9,8.633333333333333
01-30,10,8.933333333333334
01-30,11,8.533333333333333
01-30,12,8.4
01-30,13,8.0
01-30,14,7.6
01-30,15,7.333333333333333
01-30,16,6.233333333333333
01-30,17,5.866666666666667
01-30,18,5.666666666666667
01-30,19,5.633333333333333
01-30,20,5.366666666666667
01-30,21,5.166666666666667
01-30,22,4.766666666666667
01-30,23,4.366666666666666
01-31,0,4.566666666666666
01-31,1,4.7
01-31,2,5.666666666666667
01-31,3,5.666666666666667
01-31,4,5.8
01-31,5,5.766666666666667
01-31,6,5.633333333333333
01-31,7,5.9
01-31,8,6.2
01-31,9,6.4
01-31,10,6.5
01-31,11,6.9
01-31,12,7.266666666666667
01-31,13,7.533333333333334
01-31,14,7.733333333333333
01-31,15,7.6
01-31,16,7.2
01-31,17,7.066666666666667
01-31,18,6.766666666666667
01-31,19,6.4
01-31,20,5.933333333333334
01-31,21,5.7
01-31,22,5.233333333333333
01-31,23,5.666666666666667
02-01,0,6.633333333333333
02-01,1,6.933333333333334
02-01,2,6.666666666666667
